,date,N_likes,N_reposts,Хэштег
0,2021-11-01 13:32:31,595,983,[]
1,2022-01-29 12:24:12,6,1,['#Skillbox_программирование']
2,2022-01-28 11:30:30,32,16,[]
3,2022-01-27 16:37:13,42,33,['#Skillbox_игры']
4,2022-01-25 17:31:10,25,10,[]
5,2022-01-25 11:49:27,44,23,['#Skillbox_программирование']
6,2022-01-24 18:17:32,21,13,['#Расписание_Skillbox']
7,2022-01-23 11:36:32,47,16,[]
8,2022-01-22 12:16:24,205,177,[]
9,2022-01-21 10:00:54,34,15,['#Skillbox_дизайн']
10,2022-01-20 11:40:34,45,19,['#Skillbox_мультимедиа']
11,2022-01-19 12:47:52,50,27,['#Skillbox_психология']
12,2022-01-18 19:08:39,25,5,[]
13,2022-01-18 11:09:17,221,178,[]
14,2022-01-17 16:59:35,20,7,['#Skillbox_мультимедиа']
15,2022-01-16 11:24:09,25,7,['#Skillbox_психология']
16,2022-01-15 12:20:28,116,32,['#Skillbox_дизайн']
17,2022-01-14 17:04:02,25,11,[]
18,2022-01-14 10:55:23,56,52,[]
19,2022-01-13 12:00:37,205,166,[]
20,2022-01-12 14:25:17,22,6,['#Skillbox_мультимедиа']
21,2022-01-12 11:02:31,93,24,['#Skillbox_маркетинг']
22,2022-01-11 13:39:21,8,6,['#Расписание_Skillbox']
23,2022-01-11 11:33:30,49,33,['#Skillbox_мультимедиа']
24,2022-01-10 10:43:22,97,60,[]
25,2022-01-09 12:23:09,130,63,[]
26,2022-01-06 13:24:40,239,130,[]
27,2022-01-04 11:04:28,271,165,[]
28,2022-01-02 13:18:21,50,12,['#Skillbox_мультимедиа']
29,2021-12-31 13:00:22,196,137,[]
30,2021-12-29 10:00:40,195,129,[]
31,2021-12-28 17:16:42,32,7,['#Skillbox_трудоустройство']
32,2021-12-28 14:25:10,28,4,[]
33,2021-12-28 11:33:25,30,4,['#Skillbox_маркетинг']
34,2021-12-27 16:04:53,20,6,['#Расписание_Skillbox']
35,2021-12-27 10:15:20,26,7,['#Skillbox_маркетинг']
36,2021-12-26 11:44:31,52,44,['#Skillbox_программирование']
37,2021-12-25 16:30:00,28,6,['#Skillbox_мультимедиа']
38,2021-12-25 09:30:49,24,7,['#Skillbox_маркетинг']
39,2021-12-24 19:01:07,26,8,['#Skillbox_психология']
40,2021-12-24 16:32:20,15,1,['#Skillbox_мультимедиа']
41,2021-12-24 11:40:27,42,23,['#Skillbox_программирование']
42,2021-12-23 15:00:02,26,20,[]
43,2021-12-23 10:40:49,23,13,['#Skilbox_психология']
44,2021-12-22 10:21:35,14,6,['#Skillbox_игры']
45,2021-12-21 17:16:09,29,13,['#Skillbox_дизайн']
46,2021-12-21 11:10:23,26,8,[]
47,2021-12-20 12:58:44,37,23,['#Расписание_Skillbox']
48,2021-12-19 11:21:24,224,154,[]
49,2021-12-18 15:33:20,23,6,['#Skillbox_дизайн']
50,2021-12-18 12:08:21,27,8,['#Skillbox_дизайн']
51,2021-12-17 14:00:21,16,6,['#Skillbox_маркетинг']
52,2021-12-17 10:47:34,23,6,['#Skillbox_управление']
53,2021-12-16 17:12:54,10,2,['#Skillbox_маркетинг']
54,2021-12-16 15:11:01,17,25,[]
55,2021-12-15 18:00:31,48,25,['#Skillbox_высшее_образование']
56,2021-12-15 15:05:22,21,3,[]
57,2021-12-15 11:59:03,13,3,['#Skillbox_программирование']
58,2021-12-14 18:30:25,8,5,[]
59,2021-12-14 18:05:16,44,28,['#Skillbox_игры']
60,2021-12-13 15:54:53,24,11,['#Расписание_Skillbox']
61,2021-12-13 13:59:19,39,21,['#Skillbox_маркетинг']
62,2021-12-12 10:11:28,26,15,['#Skillbox_бизнес']
63,2021-12-12 09:45:03,15,6,[]
64,2021-12-11 12:44:37,342,260,[]
65,2021-12-10 10:11:46,69,39,['#Skillbox_управление']
66,2021-12-09 10:39:34,41,17,['#Skillbox_мультимедиа']
67,2021-12-08 16:50:26,34,3,['#Skillbox_программирование']
68,2021-12-07 11:49:35,57,17,['#Skillbox_мультимедиа']
69,2021-12-06 14:13:38,32,11,['#Расписание_Skillbox']
70,2021-12-06 11:30:18,32,9,['#Skillbox_мультимедиа']
71,2021-12-05 10:39:09,36,13,['#Skillbox_управление']
72,2021-12-04 09:47:52,69,21,['#Skillbox_маркетинг']
73,2021-12-03 18:49:53,29,21,['#Skillbox_психология']
74,2021-12-03 10:32:06,21,9,[]
75,2021-12-02 15:00:54,28,31,['#Skillbox_психология']
76,2021-12-02 13:00:39,13,2,['#Skillbox_маркетинг']
77,2021-12-02 12:00:01,20,14,[]
78,2021-12-01 17:56:25,18,7,['#Skillbox_маркетинг']
79,2021-11-30 11:17:34,471,390,[]
80,2021-11-29 15:15:05,27,22,['#Расписание_Skillbox']
81,2021-11-28 12:23:16,29,16,[]
82,2021-11-27 13:36:31,81,58,['#Skillbox_психология']
83,2021-11-26 14:30:05,25,3,['#Skillbox_маркетинг']
84,2021-11-26 12:12:42,20,18,['#Skillbox_маркетинг']
85,2021-11-25 10:13:31,55,24,['#Skillbox_психология']
86,2021-11-24 17:51:38,22,18,['#Skillbox_психология']
87,2021-11-23 11:58:17,29,17,['#Skillbox_игры']
88,2021-11-22 12:53:26,32,29,['#Расписание_Skillbox']
89,2021-11-22 11:22:32,637,525,[]
90,2021-11-21 10:50:20,74,77,['#Skillbox_маркетинг']
91,2021-11-20 13:12:09,18,9,['#Skillbox_программирование']
92,2021-11-19 16:21:33,18,14,[]
93,2021-11-19 11:30:39,46,18,['#Skillbox_дизайн']
94,2021-11-18 19:04:53,19,8,[]
95,2021-11-18 12:05:00,18,14,[]
96,2021-11-18 10:40:22,285,251,[]
97,2021-11-17 10:34:12,8,5,[]
98,2021-11-16 11:53:21,439,369,[]
99,2021-11-15 16:52:30,50,25,['#Skillbox_программирование']
100,2022-01-29 12:24:12,6,1,['#Skillbox_программирование']
101,2022-01-28 11:30:30,32,16,[]
102,2022-01-27 16:37:13,42,33,['#Skillbox_игры']
103,2022-01-25 17:31:10,25,10,[]
104,2022-01-25 11:49:27,44,23,['#Skillbox_программирование']
105,2022-01-24 18:17:32,21,13,['#Расписание_Skillbox']
106,2022-01-23 11:36:32,47,16,[]
